Laptop,1200.99,Tecnología
Smartphone,799.50,Tecnología
Tablet,399.99,Tecnología
Monitor,250.00,Tecnología
Teclado,49.99,Tecnología
Mouse,25.99,Tecnología
Impresora,180.75,Tecnología
Cámara,450.25,Tecnología
Auriculares,75.50,Tecnología
Disco Duro Externo,95.99,Tecnología
Silla de oficina,150.00,Muebles
Mesa de comedor,300.00,Muebles
Sofá,850.00,Muebles
Estantería,120.50,Muebles
Escritorio,220.75,Muebles
Armario,499.99,Muebles
Cama matrimonial,700.00,Muebles
Silla gamer,250.99,Muebles
Mesa de centro,180.25,Muebles
Vitrina,350.50,Muebles
Televisor,950.75,Electrodomésticos
Refrigerador,1300.49,Electrodomésticos
Lavadora,750.99,Electrodomésticos
Microondas,199.50,Electrodomésticos
Cafetera,85.25,Electrodomésticos
Aspiradora,299.75,Electrodomésticos
Ventilador,79.99,Electrodomésticos
Tostadora,45.50,Electrodomésticos
Horno eléctrico,400.99,Electrodomésticos
Licuadora,120.49,Electrodomésticos
Camiseta,19.99,Ropa
Pantalón,39.99,Ropa
Zapatos deportivos,79.99,Ropa
Chaqueta,120.99,Ropa
Vestido,85.50,Ropa
Sudadera,55.75,Ropa
Bufanda,25.99,Ropa
Sombrero,30.50,Ropa
Guantes,15.99,Ropa
Calcetines,9.99,Ropa
Manzanas,3.50,Alimentos
Leche,1.20,Alimentos
Pan,1.50,Alimentos
Arroz,2.99,Alimentos
Carne de res,10.99,Alimentos
Pollo,8.50,Alimentos
Pescado,12.75,Alimentos
Queso,6.99,Alimentos
Huevos,2.50,Alimentos
Jugo de naranja,4.25,Alimentos
